Count;Season;gameId;Result;X;Y
2;nhl05.json;125;draw;10.0;8.0
5;nhl05.json;128;draw;4.0;10.0
8;nhl05.json;131;draw;12.0;8.0
12;nhl05.json;135;draw;7.0;5.0
14;nhl05.json;137;draw;10.0;7.0
15;nhl05.json;138;draw;4.0;16.0
16;nhl05.json;139;draw;11.0;9.0
20;nhl05.json;143;draw;9.0;12.0
21;nhl05.json;144;draw;12.0;14.0
31;nhl05.json;154;draw;6.0;11.0
36;nhl05.json;159;draw;11.0;9.0
43;nhl05.json;166;draw;11.0;17.0
45;nhl05.json;168;draw;12.0;10.0
52;nhl05.json;175;draw;10.0;13.0
53;nhl05.json;176;draw;12.0;7.0
54;nhl05.json;177;draw;17.0;13.0
60;nhl05.json;183;draw;6.0;6.0
61;nhl05.json;184;draw;13.0;17.0
68;nhl05.json;191;draw;24.0;13.0
74;nhl05.json;197;draw;8.0;8.0
79;nhl05.json;202;draw;15.0;15.0
84;nhl05.json;207;draw;17.0;13.0
86;nhl05.json;209;draw;18.0;18.0
88;nhl05.json;211;draw;15.0;15.0
94;nhl05.json;217;draw;8.0;15.0
95;nhl05.json;218;draw;16.0;16.0
100;nhl05.json;223;draw;17.0;18.0
107;nhl05.json;230;draw;14.0;19.0
108;nhl05.json;231;draw;27.0;20.0
114;nhl05.json;237;draw;13.0;25.0
126;nhl05.json;249;draw;17.0;19.0
133;nhl05.json;256;draw;26.0;18.0
136;nhl05.json;259;draw;18.0;17.0
142;nhl05.json;265;draw;15.0;16.0
145;nhl05.json;268;draw;12.0;18.0
149;nhl05.json;272;draw;27.0;15.0
153;nhl05.json;276;draw;23.0;16.0
161;nhl05.json;284;draw;21.0;31.0
165;nhl05.json;288;draw;24.0;15.0
171;nhl05.json;294;draw;18.0;20.0
186;nhl05.json;309;draw;23.0;19.0
187;nhl05.json;310;draw;24.0;26.0
192;nhl05.json;315;draw;29.0;17.0
194;nhl05.json;317;draw;22.0;29.0
196;nhl05.json;319;draw;16.0;25.0
198;nhl05.json;321;draw;22.0;23.0
214;nhl05.json;337;draw;29.0;26.0
215;nhl05.json;338;draw;30.0;27.0
220;nhl05.json;343;draw;27.0;31.0
225;nhl05.json;348;draw;33.0;17.0
236;nhl05.json;359;draw;22.0;31.0
246;nhl05.json;369;draw;22.0;12.0
254;nhl05.json;377;draw;32.0;31.0
259;nhl05.json;382;draw;31.0;20.0
261;nhl05.json;384;draw;33.0;33.0
266;nhl05.json;389;draw;26.0;23.0
267;nhl05.json;390;draw;35.0;33.0
269;nhl05.json;392;draw;20.0;21.0
270;nhl05.json;393;draw;31.0;23.0
282;nhl05.json;405;draw;34.0;35.0
289;nhl05.json;412;draw;22.0;39.0
296;nhl05.json;419;draw;14.0;29.0
297;nhl05.json;420;draw;35.0;28.0
300;nhl05.json;423;draw;36.0;42.0
301;nhl05.json;424;draw;28.0;33.0
304;nhl05.json;427;draw;13.0;42.0
308;nhl05.json;431;draw;30.0;34.0
311;nhl05.json;434;draw;38.0;43.0
312;nhl05.json;435;draw;25.0;24.0
314;nhl05.json;437;draw;16.0;29.0
315;nhl05.json;438;draw;25.0;32.0
323;nhl05.json;446;draw;30.0;35.0
333;nhl05.json;456;draw;32.0;28.0
336;nhl05.json;459;draw;24.0;44.0
341;nhl05.json;464;draw;22.0;41.0
343;nhl05.json;466;draw;33.0;37.0
345;nhl05.json;468;draw;42.0;38.0
351;nhl05.json;474;draw;28.0;37.0
360;nhl05.json;483;draw;43.0;41.0
362;nhl05.json;485;draw;42.0;45.0
368;nhl05.json;491;draw;38.0;48.0
369;nhl05.json;492;draw;47.0;18.0
378;nhl05.json;501;draw;32.0;22.0
386;nhl05.json;509;draw;44.0;42.0
389;nhl05.json;512;draw;34.0;18.0
397;nhl05.json;520;draw;28.0;49.0
402;nhl05.json;525;draw;39.0;48.0
406;nhl05.json;529;draw;30.0;47.0
408;nhl05.json;531;draw;19.0;29.0
411;nhl05.json;534;draw;26.0;30.0
412;nhl05.json;535;draw;23.0;41.0
415;nhl05.json;538;draw;37.0;49.0
427;nhl05.json;550;draw;43.0;51.0
430;nhl05.json;553;draw;49.0;51.0
432;nhl05.json;555;draw;40.0;49.0
440;nhl05.json;563;draw;27.0;53.0
441;nhl05.json;564;draw;22.0;38.0
442;nhl05.json;565;draw;26.0;48.0
454;nhl05.json;577;draw;47.0;28.0
457;nhl05.json;580;draw;52.0;49.0
460;nhl05.json;583;draw;49.0;43.0
468;nhl05.json;591;draw;36.0;37.0
472;nhl05.json;595;draw;50.0;56.0
483;nhl05.json;606;draw;52.0;42.0
486;nhl05.json;609;draw;49.0;52.0
494;nhl05.json;617;draw;47.0;25.0
497;nhl05.json;620;draw;29.0;38.0
505;nhl05.json;628;draw;30.0;30.0
513;nhl05.json;636;draw;46.0;57.0
518;nhl05.json;641;draw;55.0;52.0
523;nhl05.json;646;draw;56.0;42.0
529;nhl05.json;652;draw;60.0;58.0
530;nhl05.json;653;draw;45.0;31.0
532;nhl05.json;655;draw;62.0;53.0
536;nhl05.json;659;draw;42.0;30.0
540;nhl05.json;663;draw;38.0;60.0
542;nhl05.json;665;draw;34.0;47.0
550;nhl05.json;673;draw;39.0;46.0
553;nhl05.json;676;draw;63.0;64.0
556;nhl05.json;679;draw;35.0;40.0
560;nhl05.json;683;draw;35.0;25.0
562;nhl05.json;685;draw;47.0;53.0
565;nhl05.json;688;draw;65.0;47.0
566;nhl05.json;689;draw;61.0;51.0
574;nhl05.json;697;draw;34.0;26.0
580;nhl05.json;703;draw;53.0;42.0
582;nhl05.json;705;draw;60.0;48.0
585;nhl05.json;708;draw;43.0;59.0
586;nhl05.json;709;draw;48.0;55.0
594;nhl05.json;717;draw;61.0;51.0
600;nhl05.json;723;draw;53.0;43.0
605;nhl05.json;728;draw;67.0;66.0
610;nhl05.json;733;draw;45.0;70.0
611;nhl05.json;734;draw;64.0;29.0
615;nhl05.json;738;draw;54.0;57.0
619;nhl05.json;742;draw;43.0;33.0
623;nhl05.json;746;draw;59.0;66.0
628;nhl05.json;751;draw;51.0;50.0
632;nhl05.json;755;draw;68.0;70.0
634;nhl05.json;757;draw;60.0;61.0
640;nhl05.json;763;draw;54.0;60.0
641;nhl05.json;764;draw;30.0;65.0
643;nhl05.json;766;draw;65.0;68.0
646;nhl05.json;769;draw;70.0;52.0
647;nhl05.json;770;draw;56.0;63.0
649;nhl05.json;772;draw;58.0;54.0
658;nhl05.json;781;draw;66.0;42.0
660;nhl05.json;783;draw;32.0;40.0
661;nhl05.json;784;draw;55.0;54.0
664;nhl05.json;787;draw;68.0;63.0
665;nhl05.json;788;draw;62.0;44.0
668;nhl05.json;791;draw;55.0;64.0
676;nhl05.json;799;draw;34.0;74.0
678;nhl05.json;801;draw;34.0;49.0
679;nhl05.json;802;draw;70.0;70.0
684;nhl05.json;807;draw;69.0;74.0
687;nhl05.json;810;draw;54.0;78.0
691;nhl05.json;814;draw;51.0;62.0
692;nhl05.json;815;draw;65.0;60.0
697;nhl05.json;820;draw;56.0;71.0
713;nhl05.json;836;draw;73.0;57.0
714;nhl05.json;837;draw;57.0;64.0
723;nhl05.json;846;draw;71.0;38.0
729;nhl05.json;852;draw;59.0;56.0
730;nhl05.json;853;draw;65.0;43.0
733;nhl05.json;856;draw;69.0;62.0
735;nhl05.json;858;draw;67.0;39.0
737;nhl05.json;860;draw;80.0;76.0
738;nhl05.json;861;draw;57.0;60.0
747;nhl05.json;870;draw;66.0;75.0
755;nhl05.json;878;draw;54.0;68.0
764;nhl05.json;887;draw;46.0;73.0
768;nhl05.json;891;draw;60.0;45.0
781;nhl05.json;904;draw;70.0;76.0
783;nhl05.json;906;draw;67.0;48.0
784;nhl05.json;907;draw;62.0;54.0
787;nhl05.json;910;draw;76.0;66.0
790;nhl05.json;913;draw;45.0;74.0
791;nhl05.json;914;draw;39.0;68.0
792;nhl05.json;915;draw;58.0;71.0
793;nhl05.json;916;draw;65.0;73.0
794;nhl05.json;917;draw;72.0;83.0
799;nhl05.json;922;draw;68.0;64.0
800;nhl05.json;923;draw;64.0;80.0
802;nhl05.json;925;draw;78.0;90.0
804;nhl05.json;927;draw;75.0;79.0
813;nhl05.json;936;draw;50.0;72.0
814;nhl05.json;937;draw;46.0;66.0
815;nhl05.json;938;draw;60.0;61.0
819;nhl05.json;942;draw;48.0;75.0
820;nhl05.json;943;draw;67.0;81.0
824;nhl05.json;947;draw;59.0;91.0
826;nhl05.json;949;draw;52.0;73.0
831;nhl05.json;954;draw;81.0;66.0
837;nhl05.json;960;draw;49.0;54.0
843;nhl05.json;966;draw;64.0;60.0
860;nhl05.json;983;draw;76.0;81.0
862;nhl05.json;985;draw;61.0;93.0
868;nhl05.json;991;draw;51.0;63.0
869;nhl05.json;992;draw;73.0;91.0
875;nhl05.json;998;draw;78.0;95.0
890;nhl05.json;1013;draw;65.0;76.0
899;nhl05.json;1022;draw;99.0;90.0
901;nhl05.json;1024;draw;65.0;72.0
906;nhl05.json;1029;draw;80.0;82.0
907;nhl05.json;1030;draw;74.0;76.0
908;nhl05.json;1031;draw;80.0;79.0
909;nhl05.json;1032;draw;77.0;52.0
914;nhl05.json;1037;draw;46.0;68.0
916;nhl05.json;1039;draw;69.0;88.0
917;nhl05.json;1040;draw;95.0;51.0
922;nhl05.json;1045;draw;79.0;89.0
923;nhl05.json;1046;draw;51.0;83.0
929;nhl05.json;1052;draw;102.0;57.0
936;nhl05.json;1059;draw;85.0;82.0
937;nhl05.json;1060;draw;52.0;80.0
940;nhl05.json;1063;draw;90.0;93.0
942;nhl05.json;1065;draw;68.0;71.0
944;nhl05.json;1067;draw;102.0;79.0
954;nhl05.json;1077;draw;53.0;52.0
963;nhl05.json;1086;draw;81.0;57.0
965;nhl05.json;1088;draw;86.0;73.0
968;nhl05.json;1091;draw;107.0;55.0
971;nhl05.json;1094;draw;86.0;101.0
974;nhl05.json;1097;draw;82.0;74.0
983;nhl05.json;1106;draw;50.0;85.0
987;nhl05.json;1110;draw;76.0;96.0
993;nhl05.json;1116;draw;102.0;83.0
995;nhl05.json;1118;draw;102.0;60.0
996;nhl05.json;1119;draw;92.0;110.0
997;nhl05.json;1120;draw;94.0;92.0
999;nhl05.json;1122;draw;75.0;53.0
1001;nhl05.json;1124;draw;61.0;104.0
1008;nhl05.json;1131;draw;98.0;107.0
1009;nhl05.json;1132;draw;85.0;80.0
1013;nhl05.json;1136;draw;77.0;88.0
1015;nhl05.json;1138;draw;69.0;79.0
1019;nhl05.json;1142;draw;112.0;67.0
1020;nhl05.json;1143;draw;59.0;89.0
1024;nhl05.json;1147;draw;87.0;97.0
1029;nhl05.json;1152;draw;96.0;60.0
1034;nhl05.json;1157;draw;71.0;98.0
1035;nhl05.json;1158;draw;76.0;105.0
1043;nhl05.json;1166;draw;72.0;62.0
1045;nhl05.json;1168;draw;82.0;79.0
1049;nhl05.json;1172;draw;108.0;73.0
1055;nhl05.json;1178;draw;108.0;93.0
1057;nhl05.json;1180;draw;89.0;93.0
1062;nhl05.json;1185;draw;110.0;80.0
1063;nhl05.json;1186;draw;75.0;84.0
1072;nhl05.json;1195;draw;109.0;89.0
1074;nhl05.json;1197;draw;90.0;94.0
1076;nhl05.json;1199;draw;90.0;111.0
1080;nhl05.json;1203;draw;76.0;55.0
1083;nhl05.json;1206;draw;85.0;102.0
1084;nhl05.json;1207;draw;82.0;64.0
1085;nhl05.json;1208;draw;109.0;83.0
1103;nhl05.json;1226;draw;83.0;89.0
1104;nhl05.json;1227;draw;72.0;111.0
1105;nhl05.json;1228;draw;63.0;56.0
1117;nhl06.json;133;draw;8.0;15.0
1120;nhl06.json;136;draw;3.0;16.0
1127;nhl06.json;143;draw;16.0;16.0
1129;nhl06.json;145;draw;13.0;9.0
1134;nhl06.json;150;draw;8.0;11.0
1135;nhl06.json;151;draw;12.0;11.0
1140;nhl06.json;156;draw;20.0;17.0
1145;nhl06.json;161;draw;8.0;19.0
1159;nhl06.json;175;draw;21.0;10.0
1161;nhl06.json;177;draw;10.0;12.0
1162;nhl06.json;178;draw;7.0;21.0
1171;nhl06.json;187;draw;7.0;7.0
1175;nhl06.json;191;draw;8.0;12.0
1187;nhl06.json;203;draw;14.0;23.0
1188;nhl06.json;204;draw;14.0;10.0
1190;nhl06.json;206;draw;24.0;14.0
1194;nhl06.json;210;draw;15.0;16.0
1195;nhl06.json;211;draw;17.0;14.0
1199;nhl06.json;215;draw;15.0;15.0
1201;nhl06.json;217;draw;14.0;15.0
1206;nhl06.json;222;draw;17.0;8.0
1215;nhl06.json;231;draw;25.0;15.0
1221;nhl06.json;237;draw;7.0;27.0
1228;nhl06.json;244;draw;13.0;20.0
1244;nhl06.json;260;draw;20.0;12.0
1250;nhl06.json;266;draw;14.0;25.0
1251;nhl06.json;267;draw;23.0;22.0
1252;nhl06.json;268;draw;10.0;13.0
1260;nhl06.json;276;draw;19.0;18.0
1263;nhl06.json;279;draw;30.0;14.0
1265;nhl06.json;281;draw;16.0;21.0
1269;nhl06.json;285;draw;24.0;18.0
1271;nhl06.json;287;draw;21.0;25.0
1290;nhl06.json;306;draw;22.0;18.0
1293;nhl06.json;309;draw;26.0;21.0
1294;nhl06.json;310;draw;11.0;13.0
1299;nhl06.json;315;draw;12.0;19.0
1300;nhl06.json;316;draw;20.0;35.0
1307;nhl06.json;323;draw;27.0;15.0
1312;nhl06.json;328;draw;23.0;29.0
1314;nhl06.json;330;draw;37.0;27.0
1318;nhl06.json;334;draw;23.0;25.0
1329;nhl06.json;345;draw;27.0;38.0
1332;nhl06.json;348;draw;20.0;25.0
1335;nhl06.json;351;draw;29.0;20.0
1336;nhl06.json;352;draw;27.0;40.0
1340;nhl06.json;356;draw;28.0;32.0
1346;nhl06.json;362;draw;24.0;27.0
1360;nhl06.json;376;draw;40.0;29.0
1362;nhl06.json;378;draw;36.0;20.0
1363;nhl06.json;379;draw;31.0;30.0
1367;nhl06.json;383;draw;32.0;27.0
1369;nhl06.json;385;draw;19.0;28.0
1384;nhl06.json;400;draw;28.0;22.0
1388;nhl06.json;404;draw;30.0;33.0
1393;nhl06.json;409;draw;23.0;20.0
1395;nhl06.json;411;draw;34.0;17.0
1396;nhl06.json;412;draw;30.0;26.0
1398;nhl06.json;414;draw;30.0;28.0
1405;nhl06.json;421;draw;27.0;33.0
1411;nhl06.json;427;draw;22.0;38.0
1413;nhl06.json;429;draw;31.0;25.0
1414;nhl06.json;430;draw;36.0;44.0
1415;nhl06.json;431;draw;32.0;24.0
1419;nhl06.json;435;draw;40.0;27.0
1424;nhl06.json;440;draw;32.0;29.0
1448;nhl06.json;464;draw;23.0;24.0
1454;nhl06.json;470;draw;41.0;33.0
1461;nhl06.json;477;draw;43.0;18.0
1469;nhl06.json;485;draw;28.0;40.0
1470;nhl06.json;486;draw;19.0;45.0
1478;nhl06.json;494;draw;38.0;42.0
1495;nhl06.json;511;draw;44.0;35.0
1506;nhl06.json;522;draw;24.0;52.0
1508;nhl06.json;524;draw;36.0;46.0
1516;nhl06.json;532;draw;32.0;40.0
1520;nhl06.json;536;draw;29.0;38.0
1524;nhl06.json;540;draw;51.0;26.0
1527;nhl06.json;543;draw;29.0;27.0
1533;nhl06.json;549;draw;37.0;37.0
1545;nhl06.json;561;draw;38.0;31.0
1558;nhl06.json;574;draw;39.0;41.0
1570;nhl06.json;586;draw;43.0;52.0
1574;nhl06.json;590;draw;47.0;42.0
1580;nhl06.json;596;draw;43.0;50.0
1586;nhl06.json;602;draw;40.0;51.0
1587;nhl06.json;603;draw;42.0;37.0
1596;nhl06.json;612;draw;45.0;41.0
1597;nhl06.json;613;draw;54.0;36.0
1602;nhl06.json;618;draw;41.0;55.0
1605;nhl06.json;621;draw;44.0;42.0
1610;nhl06.json;626;draw;42.0;40.0
1613;nhl06.json;629;draw;47.0;38.0
1616;nhl06.json;632;draw;37.0;42.0
1619;nhl06.json;635;draw;59.0;64.0
1621;nhl06.json;637;draw;36.0;33.0
1622;nhl06.json;638;draw;44.0;55.0
1632;nhl06.json;648;draw;43.0;43.0
1647;nhl06.json;663;draw;45.0;56.0
1658;nhl06.json;674;draw;52.0;56.0
1659;nhl06.json;675;draw;67.0;45.0
1660;nhl06.json;676;draw;39.0;49.0
1661;nhl06.json;677;draw;44.0;65.0
1663;nhl06.json;679;draw;42.0;39.0
1670;nhl06.json;686;draw;40.0;37.0
1676;nhl06.json;692;draw;43.0;53.0
1682;nhl06.json;698;draw;46.0;47.0
1685;nhl06.json;701;draw;60.0;50.0
1696;nhl06.json;712;draw;68.0;55.0
1702;nhl06.json;718;draw;61.0;26.0
1707;nhl06.json;723;draw;53.0;57.0
1709;nhl06.json;725;draw;55.0;52.0
1710;nhl06.json;726;draw;56.0;38.0
1711;nhl06.json;727;draw;46.0;65.0
1713;nhl06.json;729;draw;59.0;50.0
1715;nhl06.json;731;draw;51.0;46.0
1717;nhl06.json;733;draw;54.0;56.0
1718;nhl06.json;734;draw;62.0;48.0
1732;nhl06.json;748;draw;41.0;57.0
1739;nhl06.json;755;draw;29.0;54.0
1740;nhl06.json;756;draw;51.0;68.0
1741;nhl06.json;757;draw;59.0;45.0
1743;nhl06.json;759;draw;66.0;60.0
1747;nhl06.json;763;draw;64.0;65.0
1753;nhl06.json;769;draw;56.0;61.0
1755;nhl06.json;771;draw;30.0;66.0
1762;nhl06.json;778;draw;40.0;43.0
1775;nhl06.json;791;draw;62.0;56.0
1779;nhl06.json;795;draw;58.0;48.0
1780;nhl06.json;796;draw;49.0;56.0
1781;nhl06.json;797;draw;62.0;60.0
1786;nhl06.json;802;draw;70.0;54.0
1790;nhl06.json;806;draw;54.0;50.0
1791;nhl06.json;807;draw;64.0;45.0
1792;nhl06.json;808;draw;51.0;50.0
1793;nhl06.json;809;draw;60.0;43.0
1795;nhl06.json;811;draw;66.0;74.0
1802;nhl06.json;818;draw;33.0;63.0
1807;nhl06.json;823;draw;52.0;44.0
1813;nhl06.json;829;draw;52.0;59.0
1814;nhl06.json;830;draw;34.0;52.0
1817;nhl06.json;833;draw;60.0;65.0
1823;nhl06.json;839;draw;78.0;65.0
1831;nhl06.json;847;draw;61.0;60.0
1838;nhl06.json;854;draw;67.0;51.0
1844;nhl06.json;860;draw;66.0;66.0
1847;nhl06.json;863;draw;80.0;60.0
1848;nhl06.json;864;draw;52.0;74.0
1849;nhl06.json;865;draw;66.0;54.0
1854;nhl06.json;870;draw;52.0;68.0
1860;nhl06.json;876;draw;82.0;56.0
1864;nhl06.json;880;draw;47.0;76.0
1865;nhl06.json;881;draw;55.0;68.0
1873;nhl06.json;889;draw;78.0;48.0
1878;nhl06.json;894;draw;71.0;61.0
1881;nhl06.json;897;draw;69.0;57.0
1882;nhl06.json;898;draw;59.0;51.0
1883;nhl06.json;899;draw;69.0;72.0
1885;nhl06.json;901;draw;79.0;72.0
1888;nhl06.json;904;draw;55.0;73.0
1890;nhl06.json;906;draw;63.0;80.0
1891;nhl06.json;907;draw;66.0;66.0
1894;nhl06.json;910;draw;85.0;73.0
1895;nhl06.json;911;draw;53.0;70.0
1896;nhl06.json;912;draw;83.0;68.0
1898;nhl06.json;914;draw;58.0;73.0
1900;nhl06.json;916;draw;71.0;71.0
1901;nhl06.json;917;draw;67.0;40.0
1903;nhl06.json;919;draw;84.0;64.0
1910;nhl06.json;926;draw;84.0;85.0
1911;nhl06.json;927;draw;50.0;62.0
1915;nhl06.json;931;draw;75.0;76.0
1919;nhl06.json;935;draw;54.0;86.0
1929;nhl06.json;945;draw;70.0;41.0
1931;nhl06.json;947;draw;58.0;61.0
1934;nhl06.json;950;draw;75.0;77.0
1937;nhl06.json;953;draw;77.0;88.0
1939;nhl06.json;955;draw;75.0;75.0
1940;nhl06.json;956;draw;64.0;42.0
1942;nhl06.json;958;draw;66.0;75.0
1943;nhl06.json;959;draw;72.0;63.0
1944;nhl06.json;960;draw;52.0;84.0
1946;nhl06.json;962;draw;59.0;76.0
1947;nhl06.json;963;draw;63.0;79.0
1949;nhl06.json;965;draw;80.0;55.0
1951;nhl06.json;967;draw;86.0;69.0
1957;nhl06.json;973;draw;67.0;65.0
1964;nhl06.json;980;draw;79.0;78.0
1965;nhl06.json;981;draw;77.0;44.0
1968;nhl06.json;984;draw;90.0;67.0
1969;nhl06.json;985;draw;55.0;80.0
1971;nhl06.json;987;draw;87.0;92.0
1972;nhl06.json;988;draw;69.0;75.0
1975;nhl06.json;991;draw;45.0;87.0
1978;nhl06.json;994;draw;81.0;79.0
1980;nhl06.json;996;draw;91.0;93.0
1985;nhl06.json;1001;draw;59.0;54.0
1988;nhl06.json;1004;draw;81.0;88.0
1998;nhl06.json;1014;draw;82.0;85.0
1999;nhl06.json;1015;draw;93.0;55.0
2003;nhl06.json;1019;draw;82.0;73.0
2008;nhl06.json;1024;draw;73.0;84.0
2010;nhl06.json;1026;draw;81.0;80.0
2012;nhl06.json;1028;draw;83.0;56.0
2014;nhl06.json;1030;draw;74.0;75.0
2016;nhl06.json;1032;draw;83.0;73.0
2020;nhl06.json;1036;draw;82.0;68.0
2022;nhl06.json;1038;draw;84.0;93.0
2024;nhl06.json;1040;draw;87.0;85.0
2034;nhl06.json;1050;draw;95.0;61.0
2036;nhl06.json;1052;draw;71.0;60.0
2038;nhl06.json;1054;draw;88.0;69.0
2041;nhl06.json;1057;draw;59.0;61.0
2050;nhl06.json;1066;draw;84.0;76.0
2058;nhl06.json;1074;draw;66.0;70.0
2060;nhl06.json;1076;draw;76.0;77.0
2062;nhl06.json;1078;draw;90.0;91.0
2063;nhl06.json;1079;draw;89.0;59.0
2065;nhl06.json;1081;draw;78.0;91.0
2067;nhl06.json;1083;draw;86.0;98.0
2074;nhl06.json;1090;draw;82.0;78.0
2087;nhl06.json;1103;draw;99.0;65.0
2093;nhl06.json;1109;draw;86.0;100.0
2096;nhl06.json;1112;draw;67.0;82.0
2097;nhl06.json;1113;draw;98.0;93.0
2098;nhl06.json;1114;draw;73.0;83.0
2102;nhl06.json;1118;draw;75.0;94.0
2103;nhl06.json;1119;draw;100.0;72.0
2105;nhl06.json;1121;draw;62.0;94.0
2110;nhl06.json;1126;draw;96.0;83.0
2111;nhl06.json;1127;draw;83.0;85.0
2126;nhl06.json;1142;draw;97.0;90.0
2131;nhl06.json;1147;draw;78.0;88.0
2136;nhl06.json;1152;draw;89.0;84.0
2145;nhl06.json;1161;draw;80.0;65.0
2146;nhl06.json;1162;draw;105.0;98.0
2149;nhl06.json;1165;draw;85.0;100.0
2150;nhl06.json;1166;draw;76.0;104.0
2162;nhl06.json;1178;draw;82.0;84.0
2166;nhl06.json;1182;draw;84.0;91.0
2169;nhl06.json;1185;draw;87.0;53.0
2172;nhl06.json;1188;draw;102.0;102.0
2173;nhl06.json;1189;draw;105.0;67.0
2179;nhl06.json;1195;draw;106.0;102.0
2183;nhl06.json;1199;draw;69.0;110.0
2191;nhl06.json;1207;draw;71.0;102.0
2193;nhl06.json;1209;draw;103.0;107.0
2196;nhl06.json;1212;draw;95.0;92.0
2199;nhl06.json;1215;draw;106.0;103.0
2206;nhl06.json;1222;draw;86.0;85.0
2211;nhl06.json;1227;draw;106.0;90.0
2226;nhl07.json;135;draw;6.0;15.0
2235;nhl07.json;144;draw;12.0;10.0
2237;nhl07.json;146;draw;10.0;8.0
2239;nhl07.json;148;draw;10.0;12.0
2249;nhl07.json;158;draw;9.0;8.0
2254;nhl07.json;163;draw;14.0;6.0
2270;nhl07.json;179;draw;12.0;10.0
2271;nhl07.json;180;draw;10.0;15.0
2281;nhl07.json;190;draw;11.0;11.0
2291;nhl07.json;200;draw;14.0;22.0
2300;nhl07.json;209;draw;10.0;10.0
2306;nhl07.json;215;draw;23.0;14.0
2307;nhl07.json;216;draw;18.0;10.0
2309;nhl07.json;218;draw;11.0;15.0
2310;nhl07.json;219;draw;14.0;10.0
2318;nhl07.json;227;draw;14.0;20.0
2324;nhl07.json;233;draw;15.0;15.0
2327;nhl07.json;236;draw;17.0;17.0
2331;nhl07.json;240;draw;15.0;18.0
2332;nhl07.json;241;draw;14.0;16.0
2342;nhl07.json;251;draw;14.0;14.0
