match_id,teams,innings,retired,player,wickets,teamscore,playerruns,resumewickets,resumeruns
20070202_00014_Wandrer,1,1,1,Shahid Afridi (P) {b1980-3-1},4,65,0,5,90
20070920_00042_CapeTn,2,1,1,Imran Nazir {b1981-12-16},0,0,0,5,106
20080803_00063_Blfst,1,1,1,"White, AR {b1980-7-3}",4,28,5,NA,NA
20100209_00136_Dubai,1,1,1,Rizwan Cheema {b1978-8-15},1,6,3,NA,NA
20120630_00247_Laudhl,2,1,1,"Taylor, LRPL {b1984-3-8}",1,51,10,NA,NA
20131115_00335_Dubai,2,1,1,Shoaib Malik {b1982-2-1},3,75,13,4,101
20140319_00373_Sylhet,2,1,1,"Stirling, PR {b1990-9-3}",0,15,8,NA,NA
20151126_00467_AbDhab,1,1,1,Aaqib Sulehri {b0-0-0},1,34,0,NA,NA
20160117_00481_Khulna,1,1,1,Mushfiqur Rahim {b1988-9-1},3,128,24,NA,NA
20160122_00483_WelltnS,1,1,1,"Taylor, LRPL {b1984-3-8}",3,110,6,NA,NA
20160327_00552_NgprV,2,1,1,"Fletcher, ADS {b1987-11-28}",2,34,10,8,114
20160618_00558_Harare,1,1,1,"Mutumbami, R {b1989-6-11}",1,34,0,NA,NA
20190124_00729_AlAmt,1,1,1,Inam-ul-Haq {b1979-1-7},0,0,0,6,152
20190830_00871_MraVls,1,1,1,"Vijh, V {b1986-10-22}",8,122,64,NA,NA
20191005_00914_LimaCB,2,1,1,"Ashraf, SF {b1988-8-11}",1,25,17,5,61
20191011_00930_Doha,1,1,1,"Hawkins-Kay, AW {b1990-5-19}",7,67,0,NA,NA
20191014_00931_Corfu,2,1,1,"Mishra, P {b1979-1-9}",0,22,9,2,131
20191020_00949_VlttaM,1,1,1,"Ashokan, A {b0-0-0}",1,144,0,2,153
20191030_00989_Dubai,2,1,1,"D'Silva, DDP {b1998-4-16}",2,35,6,8,89
20191106_01003_Lilongwe,2,1,1,"Patel, MIA {b1984-11-17}",6,130,40,NA,NA
20200202_01037_MtManB,1,1,1,"Sharma, RG {b1987-4-30}",2,138,60,NA,NA
20200830_01091_Wlfdng,2,1,1,"Knowles, EB {b1982-1-18}",1,9,2,NA,NA
20210523_01164_Vinor,2,1,1,"Simpson-Parker, M {b1997-4-30}",4,124,56,5,141
20210728_01206_Bridgtn,1,1,1,"Simmons, LMP {b1985-1-25}",0,16,9,NA,NA
20210731_01208_Prvdnce,2,1,1,"Lewis, E {b1991-12-27}",3,76,35,NA,NA
20210820_01230_Kgali,1,1,1,"Bakiweyem, KF {b1982-12-4}",3,127,11,NA,NA
20210903_01250_MraVls,2,1,1,"Grover, S {b1988-11-22}",4,138,14,NA,NA
20210905_01259_MraVls,1,1,1,"Periyalwar, S {b1998-3-21}",4,125,11,NA,NA
20210917_01278_Entbe,2,1,1,"Odhiambo, NM {b1989-3-21}",6,109,1,NA,NA
20211008_01290_DubaiI,2,1,1,"Hairs, OJ {b1991-4-14}",2,85,15,NA,NA
20211010_01294_DubaiI,1,1,1,"Balbirnie, A {b1990-12-28}",5,126,15,NA,NA
20211017_01310_Almra,2,1,1,"Klokker, FA {b1983-3-13}",2,32,3,NA,NA
20211020_01325_KigaliI,2,1,1,"Harvey, O {b1990-6-1}",2,58,15,NA,NA
20211023_01351_VlttaM,1,1,1,"Pai, BA {b1982-1-24}",0,172,107,NA,NA
20211029_01375_Sharjah,1,1,1,"Pollard, KA {b1987-5-12}",3,62,8,7,123
20211106_01398_Sharjah,2,1,1,"Roy, JJ {b1990-7-21}",0,38,20,NA,NA
20211108_01410_NthSnd,1,1,1,"Taylor, M {b1990-3-20}",1,7,4,5,49
20211111_01421_Cldge,1,1,1,"Bascome, OGL {b1995-5-25}",6,178,13,0,0
20211120_01443_KigaliI,2,1,1,"Onikoyi, AA {b1987-12-22}",0,28,27,3,47
20220222_01485_AlAmt,1,1,1,"Ganesan, V {b1985-5-21}",6,111,12,NA,NA
20220430_01514_Almra,1,1,1,"Munoz-Mills, C {b1991-5-8}",5,118,5,0,0
20220612_01567_Harare,1,1,1,Darwish Rasooli {b1999-12-12},3,51,12,NA,NA
20220617_01572_RajktK,2,1,1,"Bavuma, T {b1990-5-17}",0,20,8,NA,NA
20220708_01618_Bangi,2,1,1,"Suanchuai, P {b2002-7-23}",2,13,0,4,34
20220730_01703_Harare,1,1,1,"Madhevere, WN {b2000-9-4}",3,190,67,NA,NA
20220802_01720_Bsstrr,2,1,1,"Sharma, RG {b1987-4-30}",0,19,11,NA,NA
20220911_01767_PtVa,1,1,1,"Nipiko, N {b1995-9-21}",0,7,1,NA,NA
20221030_01852_PerSta,1,1,1,"de Leede, BFW {b1999-11-15}",1,18,6,NA,NA
20221031_01855_DarEsSl,1,1,1,"Patwa, AR {b1987-2-5}",1,56,22,7,97
20221117_01888_KigaliI,2,1,1,"Diawara, MS {b1998-3-26}",4,33,8,6,88
20221121_01905_AlAmt,2,1,1,Sarfaraz Ali {b1981-10-20},0,6,2,NA,NA
20221201_01924_KigaliI,2,1,1,"Sibiya, P {b1991-2-13}",3,59,3,NA,NA
20221221_01974_Bangi,1,1,1,"Chandramohan, S {b1988-11-3}",0,4,1,4,156
20230224_01998_LaMnga,1,1,1,"Panchal, R {b1994-1-5}",1,128,25,NA,NA
20230327_02035_Sharjah,2,1,1,Najibullah Zadaran {b1993-2-18},4,71,0,NA,NA
20230506_02060_Gbrlt,1,1,1,"Pai, BA {b1982-1-24}",1,44,7,NA,NA
20230506_02060_Gbrlt,2,1,1,"Machado, MN {b1997-7-2}",1,22,1,NA,NA
20230725_02167_Ednbrgh,1,1,1,"Ward, BT {b1998-11-27}",4,173,6,NA,NA
20230726_02168_PtMsby,2,1,1,"Matuataava, PK {b1989-9-21}",6,70,2,NA,NA
20230825_02217_Kgali,1,1,1,"Patel, RB {b1988-8-18}",2,47,0,0,0
20231005_02294_LgsTB,2,1,1,"Kainessie, A {b2000-12-27}",6,79,2,8,84
20231007_02303_LgsTB,1,1,1,"Turay, A {b2007-9-19}",1,19,5,5,87
20231010_02308_LgsTB,1,1,1,"Ngegba, GE {b2002-11-12}",2,32,5,4,72
20231015_02317_LgsTB,2,1,1,"Kamara, SI {b1992-12-14}",1,19,3,NA,NA
20231122_02354_Windhok,1,1,1,"Patel, RR {b1987-7-12}",2,106,1,NA,NA
20231123_02359_Windhok,2,1,1,"Karim, IA {b1992-9-25}",1,96,9,5,87
20240114_02430_Hamiltn,1,1,1,"Williamson, KS {b1990-8-8}",1,111,26,NA,NA
20240201_02443_BngkT,1,1,1,Faisal Khan {b1996-11-2},0,5,0,1,47
20240221_02482_Damblla,2,1,1,"Nissanka, P {b1998-5-18}",2,83,60,NA,NA
20240329_02534_Mbbne,2,1,1,"Leokaoke, LJ {b1989-3-15}",2,32,5,NA,NA
20240421_02580_RawlpCS,1,1,1,Mohammad Rizwan {b1992-6-1},2,103,22,NA,NA
20240605_02639_Nssau,2,1,1,"Sharma, RG {b1987-4-30}",1,76,52,NA,NA
20240618_02704_Epskp,1,1,1,"Siriwardena, R {b1981-6-8}",4,138,18,NA,NA
20240619_02709_GrosIsl,1,1,1,"King, BA {b1994-12-16}",0,40,23,NA,NA
20240902_02833_Bangi,2,1,1,"Farhath, YA {b2000-10-12}",0,16,6,NA,NA
20240924_02858_DeSUn,1,1,1,"Ananya, PK {b1988-6-23}",3,105,18,NA,NA
20241004_02892_Inchn,2,1,1,"Dilruksha, BI {b1992-6-1}",4,20,3,6,26
20241207_03011_Kgali,2,1,1,"Kasselman, M {b2006-11-6}",0,8,1,5,92
20241208_03021_BAStA,1,1,1,"Singh, G {b1987-12-15}",2,50,24,7,95
20241211_03034_BAHur,1,1,1,"Singh, G {b1987-12-15}",1,42,15,NA,NA
20241216_03067_BAStG,1,1,1,"Ferguson, A {b1978-7-19}",3,55,9,NA,NA
20250203_03087_VlttaM,1,1,1,"Prashar, A {b1994-7-4}",3,135,5,8,167
20250428_03166_KLByms,1,1,1,Hisham Sheikh {b1996-7-17},3,74,17,NA,NA
20250518_03187_Graz,2,1,1,"Karim, H {b2005-6-30}",7,64,1,NA,NA
20250601_03202_Crthia,1,1,1,"Safi, M {b2001-1-1}",1,75,17,NA,NA
20250616_03244_KngCty,1,1,1,"Kirton, NR {b1998-5-6}",2,15,11,4,62
20250619_03250_Glsgw,2,1,1,Aarif Sheikh {b1997-10-5},4,168,39,NA,NA
20250725_03364_Kgali,1,1,1,"Limdawala, A {b0-0-0}",0,9,2,4,80
20250727_03382_Tiskre,1,1,1,"Gooch, S {b1984-5-10}",1,54,21,4,106
20250809_03400_Stkhlm,2,1,1,"Wafa, I {b1999-12-23}",4,151,32,NA,NA
20251002_03493_HareT,1,1,1,"Runsewe, SI {b2001-8-7}",1,8,5,NA,NA
20251009_03510_AlAmt,2,1,1,"Taylor, LRPL {b1984-3-8}",2,78,1,NA,NA
20251102_03553_Epskp2,2,1,1,"Lakov, H {b1991-7-15}",1,71,37,NA,NA
20251223_03647_Jmbrn,1,1,1,"Artawan, IKEG {b2000-4-23}",4,117,26,NA,NA
20260209_03691_ColSSC,2,1,1,"Taylor, BRM {b1986-2-6}",2,98,31,NA,NA
20260211_03698_ColmboR,2,1,1,"Stirling, PR {b1990-9-3}",0,1,1,NA,NA
